station_id,name,address,rental_uris,lat,lon,capacity
1745,Scotland Street,"Royal Cres, Edinburgh EH3 6PZ","{'android': 'edinburghcyclehire://stations/1745', 'ios': 'edinburghcyclehire://stations/1745'}",55.96037972054591,-3.1954703369027584,25
1744,Morningside Road,"Morningside Rd, Edinburgh EH10 4QQ","{'android': 'edinburghcyclehire://stations/1744', 'ios': 'edinburghcyclehire://stations/1744'}",55.927985349796536,-3.209749771944871,20
1739,Edinburgh Royal Infirmary,"Little France, Edinburgh EH16 4SA","{'android': 'edinburghcyclehire://stations/1739', 'ios': 'edinburghcyclehire://stations/1739'}",55.92135417116336,-3.1369712992544976,23
1738,Wester Coates Terrace,Edinburgh EH12 5JE,"{'android': 'edinburghcyclehire://stations/1738', 'ios': 'edinburghcyclehire://stations/1738'}",55.94564841884953,-3.2318471509140636,21
1737,Inverleith Row,"Inverleith Terrace, Edinburgh EH3 5NS","{'android': 'edinburghcyclehire://stations/1737', 'ios': 'edinburghcyclehire://stations/1737'}",55.964117879889585,-3.2020947474163677,25
1730,East London Street,"East London St, Edinburgh EH7 4BW","{'android': 'edinburghcyclehire://stations/1730', 'ios': 'edinburghcyclehire://stations/1730'}",55.95995414501485,-3.1871977585476543,25
1729,McDonald Road,"McDonald Rd, Edinburgh EH7 4NS","{'android': 'edinburghcyclehire://stations/1729', 'ios': 'edinburghcyclehire://stations/1729'}",55.9640310527501,-3.1851753729504253,23
1728,Portobello - Kings Road,"Kings Road, Portobello, Edinburgh, EH15 1DX","{'android': 'edinburghcyclehire://stations/1728', 'ios': 'edinburghcyclehire://stations/1728'}",55.957915406923476,-3.1183320420902874,69
1727,Causewayside,"Causewayside, Edinburgh, EH9 1PR","{'android': 'edinburghcyclehire://stations/1727', 'ios': 'edinburghcyclehire://stations/1727'}",55.93650603148236,-3.1801663476151134,21
1726,Simon Square,"Simon Square, Edinburgh, EH8 9HP","{'android': 'edinburghcyclehire://stations/1726', 'ios': 'edinburghcyclehire://stations/1726'}",55.94485886752089,-3.182589723460069,22
1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh, EH12 6TS","{'android': 'edinburghcyclehire://stations/1725', 'ios': 'edinburghcyclehire://stations/1725'}",55.94211534619251,-3.2692867654484417,20
1722,Cramond Foreshore,"Cramond Harbour, Edinburgh, EH4 6NU","{'android': 'edinburghcyclehire://stations/1722', 'ios': 'edinburghcyclehire://stations/1722'}",55.980030767403164,-3.300641788832536,38
1721,Tollcross,"High Riggs, Edinburgh, EH3 9RP","{'android': 'edinburghcyclehire://stations/1721', 'ios': 'edinburghcyclehire://stations/1721'}",55.944248052468346,-3.2031045991104747,25
1720,Dundas Street,"Airlie Place, Edinburgh, EH3 5DT","{'android': 'edinburghcyclehire://stations/1720', 'ios': 'edinburghcyclehire://stations/1720'}",55.9607624081837,-3.201278014771333,22
1102,Haymarket Station,"Haymarket Terrace, Edinburgh, EH12 5EY","{'android': 'edinburghcyclehire://stations/1102', 'ios': 'edinburghcyclehire://stations/1102'}",55.94556945067266,-3.21818468327956,20
1098,Marchmont Crescent,"Marchmont Crescent, Edinburgh, EH9 1HD","{'android': 'edinburghcyclehire://stations/1098', 'ios': 'edinburghcyclehire://stations/1098'}",55.936431918148195,-3.194150044314256,25
