from_station,from_name,from_lat,from_lon,to_station,to_name,to_lat,to_lon,period,flow,distance_km,move_cost
1765,Haymarket Terrace,55.946063966641006,-3.2230240243595745,1102,Haymarket Station,55.94556945067266,-3.21818468327956,PM,2,0.3063052268672005,0.3063052268672005
1769,Brunswick Place,55.96085174106396,-3.180985762469163,1090,Hillside Crescent,55.95787194536338,-3.175888370919665,PM,2,0.45875418405671564,0.45875418405671564
1769,Brunswick Place,55.96085174106396,-3.180985762469163,251,Waverley Station,55.952641035774384,-3.187526919462357,PM,2,0.9996721349748504,0.9996721349748504
1818,Dynamic Earth,55.951089465236365,-3.17572460948655,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,2,1.4115513693263395,1.4115513693263395
1818,Dynamic Earth,55.951089465236365,-3.17572460948655,1028,Hunter Square,55.94979756563328,-3.1877950320129003,PM,3,0.7651007853937359,1.1476511780906038
1823,Boroughmuir,55.94007146917616,-3.215335840688084,1092,Dalry Road Lidl,55.94179129688128,-3.2224153095965,PM,2,0.4805595043408512,0.4805595043408512
183,Waverley Bridge,55.951980756193535,-3.191890332557904,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,5,0.6372160096972825,1.5930400242432063
225,Waverley Court,55.95173449698344,-3.1841785354060903,189,City Chambers,55.95010933017899,-3.190257770093808,PM,1,0.4194111415071962,0.2097055707535981
2268,Picardy Place,55.95653524179326,-3.1862476120746805,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,4,1.2530679998160588,2.5061359996321175
248,Bristo Square,55.94583371599285,-3.189053072075467,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,6,0.5291157043388541,1.5873471130165624
256,St Andrews House,55.95316433242384,-3.181682340931843,189,City Chambers,55.95010933017899,-3.190257770093808,PM,1,0.6327928992282867,0.31639644961414337
265,Meadows East,55.939809466328285,-3.182738850746432,1721,Tollcross,55.944248052468346,-3.2031045991104747,PM,1,1.3608802859997886,0.6804401429998943
265,Meadows East,55.939809466328285,-3.182738850746432,1727,Causewayside,55.93650603148236,-3.1801663476151134,PM,2,0.40074415596998414,0.40074415596998414
265,Meadows East,55.939809466328285,-3.182738850746432,246,Royal Commonwealth Pool,55.93900024788877,-3.173923554315593,PM,2,0.5563142981038522,0.5563142981038522
289,Castle Street,55.95150073734976,-3.2031839065252825,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,3,0.6135468976264821,0.9203203464397232
289,Castle Street,55.95150073734976,-3.2031839065252825,1721,Tollcross,55.944248052468346,-3.2031045991104747,PM,1,0.8064768806349321,0.40323844031746603
